cage,name,sex,treatment,subc.sm.perch,subc.sm.nb,subc.sm.ft,subc.sm.wall,subc.sm.total,ud,uw.agscratch,subc.sm.tp,subc.sm.cp,sternal,urine,anoint,subc.sm.ft.hr,subc.sm.nb.hr
1,Delilah,F,Control,2,0,0,0,2,0,0,0,0,0,2,0,0,0
1,Delilah,F,Control,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1,Delilah,F,Control,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1,Delilah,F,Control,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2,Alena,F,Control,1,0,0,0,1,0,0,0,0,0,4,0,0,0
2,Alena,F,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alena,F,Control,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,Alena,F,Control,1,0,0,0,1,0,1,0,0,0,0,0,0,0
4,Ophelia,F,Control,4,0,0,0,4,0,5,0,0,0,0,0,0,0
4,Ophelia,F,Control,3,0,0,0,3,0,1,0,0,0,0,0,0,0
5,Peach,F,Control,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5,Peach,F,Control,2,0,0,0,2,0,0,0,0,0,8,0,0,0
5,Peach,F,Control,0,0,0,0,0,0,0,0,0,0,4,0,0,0
5,Peach,F,Control,4,0,0,0,4,0,0,0,0,0,6,0,0,0
8,Karla,F,Control,0,0,0,0,0,0,0,0,0,0,2,1,0,0
8,Karla,F,Control,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Karla,F,Control,0,0,0,0,0,0,0,0,0,0,6,0,0,0
8,Karla,F,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Judy,F,Control,1,0,0,0,1,0,1,0,0,0,4,0,0,0
9,Judy,F,Control,0,1,0,0,1,0,1,0,0,0,4,0,0,2
9,Judy,F,Control,3,0,4,0,7,0,1,0,0,0,16,0,8,0
9,Judy,F,Control,0,0,2,0,2,0,4,0,0,0,16,0,4,0
10,Geneva,F,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Geneva,F,Control,0,0,0,0,0,0,0,0,0,0,6,0,0,0
10,Geneva,F,Control,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Geneva,F,Control,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Kai,F,Control,0,0,0,0,0,0,1,0,0,1,6,0,0,0
16,Kai,F,Control,0,0,0,0,0,0,0,0,0,0,2,0,0,0
16,Kai,F,Control,0,0,0,0,0,0,0,0,0,0,2,0,0,0
16,Kai,F,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Connie,F,Control,2,0,0,0,2,0,0,0,0,0,4,1,0,0
20,Connie,F,Control,0,0,0,0,0,0,0,0,0,0,10,0,0,0
20,Connie,F,Control,0,0,0,0,0,0,0,0,0,0,14,0,0,0
20,Connie,F,Control,0,0,0,0,0,0,0,0,0,0,2,0,0,0
D,Juniper,F,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Juniper,F,Control,1,0,1,0,2,0,0,0,0,0,2,0,2,0
D,Juniper,F,Control,1,0,0,0,1,0,0,0,0,0,2,0,0,0
D,Juniper,F,Control,0,0,0,0,0,0,1,0,0,0,2,0,0,0
1,Delilah,F,Female,1,0,0,0,1,0,1,0,0,0,2,0,0,0
1,Delilah,F,Female,0,0,0,0,0,0,2,0,0,0,4,0,0,0
2,Alena,F,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alena,F,Female,0,0,0,0,0,0,0,0,0,0,2,1,0,0
4,Ophelia,F,Female,2,0,0,0,2,0,0,0,0,0,0,0,0,0
5,Peach,F,Female,1,0,0,0,1,0,1,0,0,0,2,0,0,0
5,Peach,F,Female,2,2,0,0,4,0,0,0,0,0,10,0,0,4
8,Karla,F,Female,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8,Karla,F,Female,6,0,0,0,6,0,0,0,0,0,6,0,0,0
9,Judy,F,Female,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,Judy,F,Female,4,0,2,0,6,0,2,0,0,0,10,0,4,0
10,Geneva,F,Female,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Geneva,F,Female,0,0,0,0,0,0,0,1,0,0,2,0,0,0
16,Kai,F,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kai,F,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Connie,F,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Connie,F,Female,1,0,0,0,1,0,1,0,0,0,6,0,0,0
D,Juniper,F,Female,1,0,0,0,1,0,0,0,0,0,0,0,0,0
D,Juniper,F,Female,1,0,0,0,1,0,0,0,0,0,2,0,0,0
1,Delilah,F,Male,3,0,0,0,3,0,2,0,0,0,0,0,0,0
1,Delilah,F,Male,2,0,0,0,2,0,0,0,0,0,4,0,0,0
2,Alena,F,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alena,F,Male,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4,Ophelia,F,Male,0,0,0,0,0,0,1,0,0,0,6,0,0,0
5,Peach,F,Male,0,0,0,0,0,0,0,0,0,0,4,0,0,0
5,Peach,F,Male,5,0,0,0,5,0,2,0,0,0,2,0,0,0
8,Karla,F,Male,0,1,0,0,1,0,0,0,0,0,0,0,0,2
8,Karla,F,Male,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,Judy,F,Male,2,0,0,0,2,0,0,0,0,0,18,0,0,0
9,Judy,F,Male,0,0,1,0,1,0,1,0,0,0,12,0,2,0
10,Geneva,F,Male,0,0,0,0,0,0,0,0,0,1,6,0,0,0
10,Geneva,F,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kai,F,Male,0,0,0,0,0,0,0,0,1,0,4,0,0,0
16,Kai,F,Male,1,0,0,0,1,0,0,0,0,0,16,0,0,0
20,Connie,F,Male,1,0,0,0,1,0,0,0,0,0,4,0,0,0
20,Connie,F,Male,2,0,0,0,2,0,1,0,0,0,6,0,0,0
D,Juniper,F,Male,2,1,0,0,3,0,0,0,0,0,2,0,0,2
